Exoskeleton_Left_Thigh (Ang),Exoskeleton_Left_Thigh (Vel),Exoskeleton_Left_Thigh (Acc),Exoskeleton_Left_Calf (Ang),Exoskeleton_Left_Calf (Vel),Exoskeleton_Left_Calf (Acc),Exoskeleton_Right_Thigh (Ang),Exoskeleton_Right_Thigh (Vel),Exoskeleton_Right_Thigh (Acc),Exoskeleton_Right_Calf (Ang),Exoskeleton_Right_Calf (Vel),Exoskeleton_Right_Calf (Acc),Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Force_Left_Thigh,Force_Left_Calf,Force_Right_Thigh,Force_Right_Calf,Angle_Driver_LT (Output),Angle_Driver_LC (Output),Angle_Driver_RT (Output),Angle_Driver_RC (Output)
-2.17529,7.38525,0.135254,1.203,0.183105,0.015625,-0.900879,2.62451,0.0527344,-0.219727,2.44141,-0.0332031,1.43921,3.60107,-0.150879,3.1311,-0.488281,0.0625,2.81799,2.31934,-0.0390625,-1.17004,2.74658,-0.602539,-235,-1,-82,-1,2.07149,3.00816,1.68787,0
-2.005,8.78906,0.133789,1.2085,-0.12207,0.0126953,-0.86792,2.99072,0.046875,-0.148315,2.92969,-0.034668,1.50513,4.76074,-0.151367,3.1311,-0.488281,0.0625,2.83997,2.68555,-0.0380859,-1.17004,2.80762,-0.597656,-235,-1,-82,-1,2.14403,3.03229,1.62195,0
-1.91162,8.78906,0.130371,1.2085,-0.366211,0.0112305,-0.840454,3.17383,0.0458984,-0.12085,3.11279,-0.034668,1.50513,4.76074,-0.151367,3.1311,-0.488281,0.0625,2.86194,2.68555,-0.0380859,-1.14807,2.80762,-0.593262,-239,-1,-79,-1,2.14772,3.0379,1.62535,0
-1.91162,8.78906,0.130371,1.2085,-0.366211,0.0112305,-0.840454,3.17383,0.0458984,-0.12085,3.11279,-0.034668,1.50513,4.76074,-0.151367,3.1311,-0.488281,0.0625,2.86194,2.68555,-0.0380859,-1.14807,2.80762,-0.593262,-239,-1,-79,-1,2.14772,3.0379,1.62535,0
-1.73584,9.0332,0.131836,1.203,-0.427246,0.0078125,-0.780029,3.479,0.0454102,-0.0878906,3.23486,-0.0356445,1.63696,5.00488,-0.151367,3.1311,-0.488281,0.0625,2.92236,2.74658,-0.0302734,-1.08765,2.99072,-0.596191,-237,-1,-77,0,2.27375,3.09191,1.49406,0
-1.73584,9.0332,0.131836,1.203,-0.427246,0.0078125,-0.780029,3.479,0.0454102,-0.0878906,3.23486,-0.0356445,1.63696,5.00488,-0.151367,3.1311,-0.488281,0.0625,2.92236,2.74658,-0.0302734,-1.08765,2.99072,-0.596191,-237,-1,-77,0,2.27375,3.09191,1.49406,0
-1.73584,9.0332,0.131836,1.203,-0.427246,0.0078125,-0.780029,3.479,0.0454102,-0.0878906,3.23486,-0.0356445,1.63696,5.00488,-0.151367,3.1311,-0.488281,0.0625,2.92236,2.74658,-0.0302734,-1.08765,2.99072,-0.598145,-237,-1,-77,0,2.27375,3.09191,1.49406,0
-1.73584,9.0332,0.131836,1.203,-0.427246,0.0078125,-0.780029,3.479,0.0454102,-0.0878906,3.23486,-0.0356445,1.63696,5.00488,-0.151367,3.1311,-0.488281,0.0625,2.92236,2.74658,-0.0302734,-1.08765,2.99072,-0.598145,-237,-1,-77,0,2.27375,3.09191,1.49406,0
-1.73584,9.0332,0.131836,1.203,-0.427246,0.0078125,-0.780029,3.479,0.0454102,-0.0878906,3.23486,-0.0356445,1.63696,4.94385,-0.152344,3.1311,-0.488281,0.0625,2.92236,2.74658,-0.0302734,-1.08765,3.05176,-0.598145,-237,-1,-77,0,2.27334,3.09191,1.49406,0
-1.73584,9.0332,0.131836,1.203,-0.427246,0.0078125,-0.780029,3.479,0.0454102,-0.0878906,3.23486,-0.0356445,1.6864,4.94385,-0.152344,3.1311,-0.488281,0.0625,2.92236,2.2583,-0.0361328,-1.08765,3.05176,-0.598145,-237,-1,-77,0,2.32278,3.08878,1.44462,0
-1.73584,9.0332,0.131836,1.203,-0.427246,0.0078125,-0.780029,3.479,0.0454102,-0.0878906,3.23486,-0.0356445,1.6864,4.94385,-0.152344,3.1311,-0.488281,0.0625,2.94983,2.2583,-0.0361328,-1.08765,3.05176,-0.598145,-237,-1,-77,0,2.32278,3.11625,1.44462,0
-1.73584,9.0332,0.131836,1.203,-0.427246,0.0078125,-0.780029,3.479,0.0454102,-0.0878906,3.23486,-0.0356445,1.6864,4.94385,-0.152344,3.1311,-0.488281,0.0625,2.94983,2.2583,-0.0361328,-1.08765,3.05176,-0.598145,-237,-1,-77,0,2.32278,3.11625,1.44462,0
-1.73584,9.0332,0.131836,1.203,-0.427246,0.0078125,-0.780029,3.479,0.0454102,-0.0878906,3.23486,-0.0356445,1.6864,4.94385,-0.152344,3.1311,-0.488281,0.0625,2.94983,2.2583,-0.0361328,-1.08765,3.05176,-0.598145,-237,-1,-77,0,2.32278,3.11625,1.44462,0
-1.73584,9.0332,0.131836,1.203,-0.366211,0.0078125,-0.780029,3.479,0.0454102,-0.0878906,3.35693,-0.0375977,1.6864,4.94385,-0.152344,3.1311,-0.488281,0.0625,2.94983,2.2583,-0.0361328,-1.04919,3.05176,-0.598145,-237,-1,-77,0,2.32278,3.11625,1.44462,0
-1.73584,9.0332,0.131836,1.203,-0.366211,0.0078125,-0.780029,3.479,0.0454102,-0.0878906,3.35693,-0.0375977,1.6864,4.94385,-0.152344,3.1311,-0.488281,0.0625,2.94983,2.2583,-0.0361328,-1.04919,3.05176,-0.598145,-236,0,-35,-1,2.31991,2.99593,1.44714,0
-1.38977,7.56836,0.13623,1.17004,1.15967,0.00927734,-0.615234,4.39453,0.0424805,0.0769043,3.66211,-0.0341797,1.79077,5.43213,-0.154785,3.1311,-0.488281,0.0625,3.00476,2.50244,-0.0336914,-0.933838,2.68555,-0.594727,-230,-2,-39,1,2.41724,3.07134,1.33129,0
-1.33484,7.38525,0.137207,1.16455,1.15967,0.00927734,-0.615234,4.69971,0.046875,0.109863,3.66211,-0.0341797,1.79077,5.43213,-0.146973,3.1311,-0.488281,0.0625,3.02673,2.50244,-0.0336914,-0.862427,2.68555,-0.595703,-230,-2,-39,1,2.41834,3.09397,1.32821,0
-1.33484,7.38525,0.137207,1.16455,1.15967,0.00830078,-0.576782,4.69971,0.046875,0.109863,3.66211,-0.0341797,1.79077,5.43213,-0.146973,3.1311,-0.488281,0.0625,3.02673,2.50244,-0.0336914,-0.862427,2.68555,-0.595703,-230,-2,-39,1,2.41834,3.09397,1.32821,0
-1.33484,7.38525,0.137207,1.17004,1.64795,0.00830078,-0.576782,4.69971,0.046875,0.148315,3.78418,-0.0297852,1.80725,4.63867,-0.146973,3.1311,-0.488281,0.0625,3.04321,2.62451,-0.0268555,-0.862427,2.68555,-0.595703,-232,-1,-57,-1,2.437,3.1641,1.31185,0
-1.33484,7.38525,0.137207,1.17004,1.64795,0.00830078,-0.576782,4.69971,0.046875,0.148315,3.78418,-0.0297852,1.80725,4.63867,-0.146973,3.1311,-0.488281,0.0625,3.04321,2.62451,-0.0268555,-0.862427,2.68555,-0.595703,-240,1,-2,1,2.4633,3.01657,1.31209,0
-1.17004,6.34766,0.129883,1.19202,2.68555,0.00976562,-0.477905,5.67627,0.0302734,0.22522,3.84521,-0.0429688,1.81824,4.08936,-0.124512,3.1311,-0.488281,0.0625,3.07068,2.44141,-0.0283203,-0.829468,2.80762,-0.592285,-235,-2,-73,0,2.46108,3.24263,1.29197,0
-1.11511,5.92041,0.136719,1.25244,3.17383,0.0161133,-0.368042,5.79834,0.0341797,0.302124,3.84521,-0.0429688,1.87317,4.45557,-0.125488,3.1311,-0.488281,0.0625,3.10364,2.92969,-0.0429688,-0.730591,3.60107,-0.603027,-234,-1,-50,-1,2.51725,3.21372,1.23675,0
-1.11511,5.92041,0.136719,1.25244,3.17383,0.0161133,-0.368042,5.79834,0.0341797,0.302124,3.84521,-0.0429688,2.05444,3.72314,-0.141113,3.1311,-0.488281,0.0625,3.15857,3.54004,-0.0244141,-0.631714,3.96729,-0.59082,-230,-1,-63,-1,2.68197,3.31045,1.05547,0
-1.11511,5.92041,0.136719,1.25244,3.17383,0.0161133,-0.368042,5.79834,0.0341797,0.302124,3.84521,-0.0429688,2.05444,3.72314,-0.141113,3.1311,-0.488281,0.0625,3.19702,3.54004,-0.0244141,-0.631714,3.96729,-0.59082,-230,-1,-63,-1,2.68197,3.3489,1.05547,0
-0.939331,5.98145,0.135254,1.34583,2.99072,0.0136719,-0.203247,5.79834,0.0415039,0.411987,4.15039,-0.0351562,2.05444,3.72314,-0.141113,3.1311,-0.488281,0.0625,3.24097,3.60107,-0.0253906,-0.593262,3.66211,-0.586914,-241,-1,-67,0,2.71322,3.40434,1.05666,0
-0.939331,5.98145,0.135254,1.34583,2.99072,0.0136719,-0.203247,5.79834,0.0415039,0.411987,4.15039,-0.0351562,2.05444,3.72314,-0.141113,3.1311,-0.488281,0.0625,3.24097,3.60107,-0.0253906,-0.593262,3.66211,-0.586914,-241,-1,-67,0,2.71322,3.40434,1.05666,0
-0.939331,5.98145,0.135254,1.34583,2.99072,0.0136719,-0.203247,5.79834,0.0415039,0.411987,4.15039,-0.0351562,2.05444,3.72314,-0.134766,3.1311,-0.488281,0.0625,3.24097,3.60107,-0.0253906,-0.593262,3.66211,-0.586914,-241,-1,-67,0,2.71358,3.40434,1.05666,0
-0.939331,5.98145,0.135254,1.34583,2.99072,0.0136719,-0.203247,5.79834,0.0415039,0.411987,4.15039,-0.0351562,2.05444,3.72314,-0.134766,3.1311,-0.488281,0.0625,3.24097,3.60107,-0.0253906,-0.593262,3.66211,-0.586914,-241,-1,-67,0,2.71009,3.40434,1.05666,0
-0.878906,5.98145,0.134277,1.38428,2.99072,0.0102539,-0.148315,5.61523,0.0415039,0.411987,4.15039,-0.0380859,2.10938,3.23486,-0.127441,3.1311,-0.488281,0.0625,3.27393,3.479,-0.0244141,-0.593262,3.66211,-0.591309,-235,0,-50,2,2.749,3.38801,1.00479,0
