Exoskeleton_Left_Thigh (Ang),Exoskeleton_Left_Thigh (Vel),Exoskeleton_Left_Thigh (Acc),Exoskeleton_Left_Calf (Ang),Exoskeleton_Left_Calf (Vel),Exoskeleton_Left_Calf (Acc),Exoskeleton_Right_Thigh (Ang),Exoskeleton_Right_Thigh (Vel),Exoskeleton_Right_Thigh (Acc),Exoskeleton_Right_Calf (Ang),Exoskeleton_Right_Calf (Vel),Exoskeleton_Right_Calf (Acc),Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Angle_Driver_LT (Output),Angle_Driver_LC (Output),Angle_Driver_RT (Output),Angle_Driver_RC (Output)
-0.0933838,-2.68555,0.17334,0,2.50244,0.0180664,-0.0329605,-1.70898,-0.0429688,-0.0823944,-1.46484,-0.0581055,91.7139,0.183105,0.0620117,97.9926,0.427246,0.0629883,97.5421,0.0610352,-0.0141602,96.2598,0.366211,-0.120605,-5.05877,-4.08754,9.09576,0
-0.0933838,-2.68555,0.17334,0,2.50244,0.0180664,-0.0329605,-1.70898,-0.0429688,-0.0823944,-1.46484,-0.0581055,91.7139,0.183105,0.0620117,97.9926,0.427246,0.0629883,97.5421,0.0610352,-0.0141602,96.2598,0.366211,-0.120605,-5.05877,-4.08754,9.18902,0
-0.0933838,-2.68555,0.17334,0,2.50244,0.0180664,-0.0329605,-1.70898,-0.0429688,-0.0823944,-1.46484,-0.0581055,91.7139,0,0.0610352,97.9926,0.427246,0.0629883,97.5421,0.0610352,-0.0141602,96.2598,0.305176,-0.123535,-5.25305,-4.21965,9.00639,0
-0.0933838,-2.68555,0.17334,0,2.50244,0.0180664,-0.0329605,-1.70898,-0.0429688,-0.0823944,-1.46484,-0.0581055,91.7139,0,0.0610352,97.9926,0.427246,0.0629883,97.5421,0.0610352,-0.0141602,96.2598,0.305176,-0.123535,-5.25305,-4.21965,9.00639,0
-0.0933838,-2.68555,0.17334,0,2.50244,0.0180664,-0.0329605,-1.70898,-0.0429688,-0.0823944,-1.46484,-0.0581055,91.7139,0,0.0610352,97.9926,0.427246,0.0629883,97.5421,0.0610352,-0.0141602,96.2598,0.305176,-0.123535,-5.2647,-4.21965,9.00639,0
-0.153809,-3.78418,0.174316,0.0219727,3.60107,0.0205078,-0.04944,-2.2583,-0.0444336,-0.10986,-1.95312,-0.0581055,91.7139,0,0.0610352,97.998,0.427246,0.0610352,97.5476,0.0610352,-0.0166016,96.2653,0.305176,-0.123535,-5.25693,-4.36181,8.66218,0
-0.153809,-3.78418,0.174316,0.0219727,3.60107,0.0205078,-0.04944,-2.2583,-0.0444336,-0.10986,-1.95312,-0.0581055,91.7139,-0.0610352,0.0620117,98.0035,0.427246,0.0625,97.5476,0.183105,-0.0141602,96.2653,0.305176,-0.124023,-5.19865,-4.19862,8.76093,0
-0.22522,-4.94385,0.175781,0.0494385,4.88281,0.0205078,-0.0769058,-2.86865,-0.043457,-0.148312,-2.50244,-0.0571289,91.7139,-0.0610352,0.0620117,98.0145,0.427246,0.0625,97.5531,0.0610352,-0.0141602,96.2653,0.305176,-0.124023,-5.19865,-4.2009,8.77191,0
-0.31311,-6.28662,0.178711,0.0933838,6.28662,0.0224609,-0.115358,-3.54004,-0.0395508,-0.192258,-3.17383,-0.0556641,91.7139,-0.0610352,0.0654297,98.02,0.366211,0.0629883,97.5531,0,-0.0102539,96.2708,0.305176,-0.12207,-5.00048,-4.19313,8.71751,0
-0.31311,-6.28662,0.178711,0.0933838,6.28662,0.0224609,-0.115358,-3.54004,-0.0395508,-0.192258,-3.17383,-0.0556641,91.7139,-0.0610352,0.0654297,98.02,0.366211,0.0629883,97.5531,0,-0.0102539,96.2708,0.305176,-0.12207,-5.10151,-4.07656,8.5093,0
